DATE,TIME PERIOD,OIS - Wholesale - Weighted average rate - 5 years (bucket)  (MMSR.B.U2._X._Z.S1ZV._Z.O._X.WR._X.FK._Z._Z.EUR._Z)
3/14/2017,14-Mar-17,-0.13
5/2/2017,2-May-17,-0.09
6/13/2017,13-Jun-17,
7/25/2017,25-Jul-17,-0.04
9/12/2017,12-Sep-17,-0.09
10/31/2017,31-Oct-17,-0.05
12/19/2017,19-Dec-17,-0.06
1/30/2018,30-Jan-18,0.12
3/13/2018,13-Mar-18,0.21
5/2/2018,2-May-18,0.14
6/19/2018,19-Jun-18,0.09
7/31/2018,31-Jul-18,
9/18/2018,18-Sep-18,0.05
10/30/2018,30-Oct-18,0.16
12/18/2018,18-Dec-18,0.07
1/29/2019,29-Jan-19,
3/12/2019,12-Mar-19,-0.11
4/16/2019,16-Apr-19,-0.17
6/11/2019,11-Jun-19,-0.28
7/30/2019,30-Jul-19,-0.47
9/17/2019,17-Sep-19,-0.7
10/29/2019,29-Oct-19,
12/17/2019,17-Dec-19,-0.47
1/28/2020,28-Jan-20,-0.41
3/17/2020,17-Mar-20,-0.59
5/5/2020,5-May-20,-0.49
6/9/2020,9-Jun-20,-0.55
7/21/2020,21-Jul-20,-0.56
9/15/2020,15-Sep-20,-0.59
11/3/2020,3-Nov-20,-0.61
12/15/2020,15-Dec-20,-0.56
1/26/2021,26-Jan-21,-0.55
3/16/2021,16-Mar-21,-0.48
4/27/2021,27-Apr-21,-0.47
6/15/2021,15-Jun-21,-0.4
7/27/2021,27-Jul-21,-0.41
9/14/2021,14-Sep-21,-0.47
11/2/2021,2-Nov-21,-0.29
12/21/2021,21-Dec-21,-0.28
2/8/2022,8-Feb-22,-0.05
3/15/2022,15-Mar-22,0.32
4/19/2022,19-Apr-22,0.71
6/14/2022,14-Jun-22,1.26
7/26/2022,26-Jul-22,1.57
9/13/2022,13-Sep-22,1.7
11/1/2022,1-Nov-22,2.63
12/20/2022,20-Dec-22,2.47
2/7/2023,7-Feb-23,2.62
3/21/2023,21-Mar-23,2.96
5/9/2023,9-May-23,2.83
6/20/2023,20-Jun-23,2.84
8/1/2023,1-Aug-23,3.02
9/19/2023,19-Sep-23,3.02
10/31/2023,31-Oct-23,3.15
12/19/2023,19-Dec-23,2.68
1/30/2024,30-Jan-24,2.34
3/12/2024,12-Mar-24,2.51
4/16/2024,16-Apr-24,2.56
6/11/2024,11-Jun-24,2.72
7/23/2024,23-Jul-24,2.64
9/17/2024,17-Sep-24,2.3
10/22/2024,22-Oct-24,2.18
12/17/2024,17-Dec-24,2
2/4/2025,4-Feb-25,2.19
3/11/2025,11-Mar-25,2.16
4/22/2025,22-Apr-25,2.18
6/10/2025,10-Jun-25,2.02
7/29/2025,29-Jul-25,2.07
9/16/2025,16-Sep-25,2.12
11/4/2025,4-Nov-25,2.13
12/22/2025,22-Dec-25,2.24
2/10/2026,10-Feb-26,2.28
3/24/2026,24-Mar-26,2.35
