,European Union Emissions Trading System (until 2018),,,, ,"European Union Emissions Trading System (from 2019, download)",,,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market, ,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market, 
1/2/2015,1,1.162133333,EUR,, ,,,,,, 
1/5/2015,1,1.162133333,EUR,, ,,,,,, 
1/6/2015,1,1.162133333,EUR,, ,,,,,, 
1/7/2015,1,1.162133333,EUR,, ,,,,,, 
1/8/2015,1,1.162133333,EUR,6.7, ,,,,,, 
1/9/2015,1,1.162133333,EUR,6.71, ,,,,,, 
1/12/2015,1,1.162133333,EUR,6.59, ,,,,,, 
1/13/2015,1,1.162133333,EUR,6.77, ,,,,,, 
1/14/2015,1,1.162133333,EUR,6.99, ,,,,,, 
1/15/2015,1,1.162133333,EUR,7.1, ,,,,,, 
1/16/2015,1,1.162133333,EUR,7.05, ,,,,,, 
1/19/2015,1,1.162133333,EUR,7.06, ,,,,,, 
1/20/2015,1,1.162133333,EUR,7.25, ,,,,,, 
1/21/2015,1,1.162133333,EUR,, ,,,,,, 
1/22/2015,1,1.162133333,EUR,7.02, ,,,,,, 
1/23/2015,1,1.162133333,EUR,6.81, ,,,,,, 
1/26/2015,1,1.162133333,EUR,6.76, ,,,,,, 
1/27/2015,1,1.162133333,EUR,6.82, ,,,,,, 
1/28/2015,1,1.162133333,EUR,6.76, ,,,,,, 
1/29/2015,1,1.162133333,EUR,6.92, ,,,,,, 
1/30/2015,1,1.162133333,EUR,6.96, ,,,,,, 
2/2/2015,1,1.134965,EUR,7.06, ,,,,,, 
2/3/2015,1,1.134965,EUR,7.06, ,,,,,, 
2/4/2015,1,1.134965,EUR,, ,,,,,, 
2/5/2015,1,1.134965,EUR,6.87, ,,,,,, 
2/6/2015,1,1.134965,EUR,6.92, ,,,,,, 
2/9/2015,1,1.134965,EUR,6.86, ,,,,,, 
2/10/2015,1,1.134965,EUR,6.88, ,,,,,, 
2/11/2015,1,1.134965,EUR,6.87, ,,,,,, 
2/12/2015,1,1.134965,EUR,7.29, ,,,,,, 
2/13/2015,1,1.134965,EUR,7.35, ,,,,,, 
2/16/2015,1,1.134965,EUR,7.66, ,,,,,, 
2/17/2015,1,1.134965,EUR,7.62, ,,,,,, 
2/18/2015,1,1.134965,EUR,, ,,,,,, 
2/19/2015,1,1.134965,EUR,7.37, ,,,,,, 
2/20/2015,1,1.134965,EUR,7.26, ,,,,,, 
2/23/2015,1,1.134965,EUR,7.2, ,,,,,, 
2/24/2015,1,1.134965,EUR,7.66, ,,,,,, 
2/25/2015,1,1.134965,EUR,7.35, ,,,,,, 
2/26/2015,1,1.134965,EUR,7.29, ,,,,,, 
2/27/2015,1,1.134965,EUR,6.93, ,,,,,, 
3/2/2015,1,1.083768182,EUR,6.9, ,,,,,, 
3/3/2015,1,1.083768182,EUR,6.82, ,,,,,, 
3/4/2015,1,1.083768182,EUR,, ,,,,,, 
3/5/2015,1,1.083768182,EUR,6.96, ,,,,,, 
3/6/2015,1,1.083768182,EUR,6.7, ,,,,,, 
3/9/2015,1,1.083768182,EUR,6.66, ,,,,,, 
3/10/2015,1,1.083768182,EUR,6.67, ,,,,,, 
3/11/2015,1,1.083768182,EUR,6.48, ,,,,,, 
3/12/2015,1,1.083768182,EUR,6.61, ,,,,,, 
3/13/2015,1,1.083768182,EUR,6.26, ,,,,,, 
3/16/2015,1,1.083768182,EUR,6.36, ,,,,,, 
3/17/2015,1,1.083768182,EUR,6.45, ,,,,,, 
3/18/2015,1,1.083768182,EUR,, ,,,,,, 
3/19/2015,1,1.083768182,EUR,6.7, ,,,,,, 
3/20/2015,1,1.083768182,EUR,6.7, ,,,,,, 
3/23/2015,1,1.083768182,EUR,6.94, ,,,,,, 
3/24/2015,1,1.083768182,EUR,7.02, ,,,,,, 
3/25/2015,1,1.083768182,EUR,6.77, ,,,,,, 
3/26/2015,1,1.083768182,EUR,7, ,,,,,, 
3/27/2015,1,1.083768182,EUR,6.9, ,,,,,, 
3/30/2015,1,1.083768182,EUR,6.81, ,,,,,, 
3/31/2015,1,1.083768182,EUR,6.79, ,,,,,, 
4/1/2015,1,1.07793,EUR,, ,,,,,, 
4/2/2015,1,1.07793,EUR,7.14, ,,,,,, 
4/7/2015,1,1.07793,EUR,7.08, ,,,,,, 
4/8/2015,1,1.07793,EUR,, ,,,,,, 
4/9/2015,1,1.07793,EUR,7.12, ,,,,,, 
4/10/2015,1,1.07793,EUR,6.96, ,,,,,, 
4/13/2015,1,1.07793,EUR,6.82, ,,,,,, 
4/14/2015,1,1.07793,EUR,6.77, ,,,,,, 
4/15/2015,1,1.07793,EUR,, ,,,,,, 
4/16/2015,1,1.07793,EUR,6.82, ,,,,,, 
4/17/2015,1,1.07793,EUR,6.83, ,,,,,, 
4/20/2015,1,1.07793,EUR,6.88, ,,,,,, 
4/21/2015,1,1.07793,EUR,7.07, ,,,,,, 
4/22/2015,1,1.07793,EUR,6.75, ,,,,,, 
4/23/2015,1,1.07793,EUR,7.06, ,,,,,, 
4/24/2015,1,1.07793,EUR,7.27, ,,,,,, 
4/27/2015,1,1.07793,EUR,7.33, ,,,,,, 
4/28/2015,1,1.07793,EUR,7.16, ,,,,,, 
4/29/2015,1,1.07793,EUR,, ,,,,,, 
4/30/2015,1,1.07793,EUR,7.52, ,,,,,, 
5/4/2015,1,1.114955,EUR,, ,,,,,, 
5/5/2015,1,1.114955,EUR,7.5, ,,,,,, 
5/6/2015,1,1.114955,EUR,7.25, ,,,,,, 
5/7/2015,1,1.114955,EUR,7.5, ,,,,,, 
5/8/2015,1,1.114955,EUR,7.43, ,,,,,, 
5/11/2015,1,1.114955,EUR,7.5, ,,,,,, 
5/12/2015,1,1.114955,EUR,7.62, ,,,,,, 
5/13/2015,1,1.114955,EUR,, ,,,,,, 
5/14/2015,1,1.114955,EUR,, ,,,,,, 
5/15/2015,1,1.114955,EUR,7.48, ,,,,,, 
5/18/2015,1,1.114955,EUR,7.54, ,,,,,, 
5/19/2015,1,1.114955,EUR,7.51, ,,,,,, 
5/20/2015,1,1.114955,EUR,7.38, ,,,,,, 
5/21/2015,1,1.114955,EUR,7.3, ,,,,,, 
5/22/2015,1,1.114955,EUR,7.25, ,,,,,, 
5/26/2015,1,1.114955,EUR,7.28, ,,,,,, 
5/27/2015,1,1.114955,EUR,, ,,,,,, 
5/28/2015,1,1.114955,EUR,7.2, ,,,,,, 
5/29/2015,1,1.114955,EUR,7.22, ,,,,,, 
6/1/2015,1,1.121322727,EUR,7.23, ,,,,,, 
6/2/2015,1,1.121322727,EUR,7.26, ,,,,,, 
6/3/2015,1,1.121322727,EUR,, ,,,,,, 
6/4/2015,1,1.121322727,EUR,, ,,,,,, 
6/5/2015,1,1.121322727,EUR,7.4, ,,,,,, 
6/8/2015,1,1.121322727,EUR,7.38, ,,,,,, 
6/9/2015,1,1.121322727,EUR,7.48, ,,,,,, 
6/10/2015,1,1.121322727,EUR,, ,,,,,, 
6/11/2015,1,1.121322727,EUR,7.58, ,,,,,, 
6/12/2015,1,1.121322727,EUR,7.52, ,,,,,, 
6/15/2015,1,1.121322727,EUR,7.54, ,,,,,, 
6/16/2015,1,1.121322727,EUR,7.48, ,,,,,, 
6/17/2015,1,1.121322727,EUR,, ,,,,,, 
6/18/2015,1,1.121322727,EUR,7.45, ,,,,,, 
6/19/2015,1,1.121322727,EUR,7.41, ,,,,,, 
6/22/2015,1,1.121322727,EUR,7.43, ,,,,,, 
6/23/2015,1,1.121322727,EUR,7.45, ,,,,,, 
6/24/2015,1,1.121322727,EUR,, ,,,,,, 
6/25/2015,1,1.121322727,EUR,7.52, ,,,,,, 
6/26/2015,1,1.121322727,EUR,7.5, ,,,,,, 
6/29/2015,1,1.121322727,EUR,7.36, ,,,,,, 
6/30/2015,1,1.121322727,EUR,7.36, ,,,,,, 
7/1/2015,1,1.099578261,EUR,7.16, ,,,,,, 
7/2/2015,1,1.099578261,EUR,7.42, ,,,,,, 
7/3/2015,1,1.099578261,EUR,7.42, ,,,,,, 
7/6/2015,1,1.099578261,EUR,7.33, ,,,,,, 
7/7/2015,1,1.099578261,EUR,7.35, ,,,,,, 
7/8/2015,1,1.099578261,EUR,, ,,,,,, 
7/9/2015,1,1.099578261,EUR,7.43, ,,,,,, 
7/10/2015,1,1.099578261,EUR,7.52, ,,,,,, 
7/13/2015,1,1.099578261,EUR,7.64, ,,,,,, 
7/14/2015,1,1.099578261,EUR,7.72, ,,,,,, 
7/15/2015,1,1.099578261,EUR,, ,,,,,, 
7/16/2015,1,1.099578261,EUR,7.69, ,,,,,, 
7/17/2015,1,1.099578261,EUR,7.6, ,,,,,, 
7/20/2015,1,1.099578261,EUR,7.76, ,,,,,, 
7/21/2015,1,1.099578261,EUR,7.92, ,,,,,, 
7/22/2015,1,1.099578261,EUR,, ,,,,,, 
7/23/2015,1,1.099578261,EUR,8.04, ,,,,,, 
7/24/2015,1,1.099578261,EUR,8.01, ,,,,,, 
7/27/2015,1,1.099578261,EUR,7.98, ,,,,,, 
7/28/2015,1,1.099578261,EUR,7.95, ,,,,,, 
7/29/2015,1,1.099578261,EUR,8.03, ,,,,,, 
7/30/2015,1,1.099578261,EUR,8, ,,,,,, 
7/31/2015,1,1.099578261,EUR,7.82, ,,,,,, 
8/3/2015,1,1.113904762,EUR,7.91, ,,,,,, 
8/4/2015,1,1.113904762,EUR,7.94, ,,,,,, 
8/5/2015,1,1.113904762,EUR,, ,,,,,, 
8/6/2015,1,1.113904762,EUR,7.83, ,,,,,, 
8/7/2015,1,1.113904762,EUR,7.79, ,,,,,, 
8/10/2015,1,1.113904762,EUR,7.78, ,,,,,, 
8/11/2015,1,1.113904762,EUR,7.95, ,,,,,, 
8/12/2015,1,1.113904762,EUR,, ,,,,,, 
8/13/2015,1,1.113904762,EUR,8.18, ,,,,,, 
8/14/2015,1,1.113904762,EUR,8.15, ,,,,,, 
8/17/2015,1,1.113904762,EUR,8.26, ,,,,,, 
8/18/2015,1,1.113904762,EUR,8.17, ,,,,,, 
8/19/2015,1,1.113904762,EUR,, ,,,,,, 
8/20/2015,1,1.113904762,EUR,8.31, ,,,,,, 
8/21/2015,1,1.113904762,EUR,8.31, ,,,,,, 
8/24/2015,1,1.113904762,EUR,8.08, ,,,,,, 
8/25/2015,1,1.113904762,EUR,8.22, ,,,,,, 
8/26/2015,1,1.113904762,EUR,, ,,,,,, 
8/27/2015,1,1.113904762,EUR,8.07, ,,,,,, 
8/28/2015,1,1.113904762,EUR,8.04, ,,,,,, 
8/31/2015,1,1.113904762,EUR,, ,,,,,, 
9/1/2015,1,1.122118182,EUR,7.98, ,,,,,, 
9/2/2015,1,1.122118182,EUR,, ,,,,,, 
9/3/2015,1,1.122118182,EUR,8.06, ,,,,,, 
9/4/2015,1,1.122118182,EUR,8.06, ,,,,,, 
9/7/2015,1,1.122118182,EUR,8.02, ,,,,,, 
9/8/2015,1,1.122118182,EUR,8.09, ,,,,,, 
